"ColorName","ColorId","ColorHex"
"Vestido de Cetim","236057","#D9DAD8"
"Pedido de Casamento","234395","#E5DFD7"
"Pelicano","49601","#DEDCD7"
"Campo Nevado","49875","#D8D8D7"
"Plaza","100890","#DADBD6"
"Gelo Sombreado","49843","#D7D9D6"
"Bela Urze","49508","#E0DAD5"
"Corços Brancos","49517","#DFDAD5"
"Corços Brancos","49517","#DFDAD5"
"Equinócio de Outono","53135","#E3DCD4"
"Equinócio de Outono","53135","#E3DCD4"
"Areia do Saara","234192","#E7E0D3"
"Biscoito de Leite","53146","#E3DDD2"
"Flauta de Madeira","49523","#E4DBD0"
"Bela Canção","232270","#E5DCDC"
"Bela Canção","232270","#E5DCDC"
"Cinza Exótico","53078","#E3DAD8"
"Cinza Exótico","53078","#E3DAD8"
"Violeta","48983","#E1D1D7"
"Malva Mineral","52386","#DED1D5"
"Malva Mineral","52386","#DED1D5"
"Templo da Oração","232431","#DFCFCC"
"Templo da Oração","232431","#DFCFCC"
"Balé Rosa","48523","#ECCCC8"
"Balé Rosa","48523","#ECCCC8"
"Rosa Conquista","232219","#EDC9CC"
"Rosa Conquista","232219","#EDC9CC"
"Malva de Inverno","49007","#D3BFC1"
"Malva de Inverno","49007","#D3BFC1"
"Malva Suave","48985","#CDB9C3"
"Malva Suave","48985","#CDB9C3"
"Papel de Bala","232200","#ECB8BE"
"Papel de Bala","232200","#ECB8BE"
"Escultura em Madeira","53102","#CBB3AD"
"Escultura em Madeira","53102","#CBB3AD"
"Rosa Empoeirada","49033","#CEB2AF"
"Rosa Empoeirada","49033","#CEB2AF"
"Beijo de Mãe","232204","#DD939C"
"Beijo de Mãe","232204","#DD939C"
"Rosa Açaí","532230","#C46F8A"
"Rosa Azaléia","639859","#9E5975"
"Rubi","532227","#B44A47"
"Vermelho Cardinal","532146","#B33E3C"
"Colorado","532186","#793B2E"
"Vermelho","532288","#B22A39"
"Vermelho Goya","532155","#5C2927"
"Vermelho","532142","#A82223"
"Momento de Promessa","52364","#EEE9EB"
"Laço de Fita","49595","#EEE8EA"
"Primeiro Amor","232568","#F7E7E3"
"Primeiro Amor","232568","#F7E7E3"
"Perfume","232566","#F3E7E4"
"Perfume","232566","#F3E7E4"
"Areia Quente","233294","#F3E7DE"
"Areia Quente","233294","#F3E7DE"
"Rosa Sombra","49504","#F0E7E7"
"Rosa Puro","52461","#F0E7E5"
"Creme de Rosas","237983","#EFE7E7"
"Sombra Suave","53087","#ECE7E3"
"Deleite","52424","#EFE6E5"
"Salmão Pálido","49014","#F1E5E4"
"Puro Amor","237846","#EAE2E6"
"Vista de Florença","232457","#F5DFDB"
"Toque Feminino","232124","#EFDFDF"
"Sapatilha","232434","#F3DEDA"
"Delícia","100777","#F1DEE6"
"Flor-de-Lis","48209","#EBDEE8"
"Amor Fraterno","232162","#F2DCDC"
"Amor Fraterno","232162","#F2DCDC"
"Doce Vida","232162","#F2DCDC"
"Rosa Nebulosa","52462","#EEDCDA"
"Toque de Flauta","232793","#F1DAD2"
"Tule de Balé","237649","#E8DAE5"
"Amêndoa Portuguesa","52407","#E8DADD"
"Rosa Laço","48270","#F6D8DA"
"Rosa Doçura","237920","#F5D8E1"
"Creme de Papaia","48539","#EFD8CF"
"Rosa Xale","232604","#F6D6CF"
"Rosa Sinfonia","48263","#F2D6DA"
"Geada Rosa","48254","#F1D5DD"
"Florescer de Rosas","232661","#F4D3CB"
"Malva Rosada","48233","#EDD3DF"
"Gelado","48225","#EBD2E2"
"Violeta Discreto","48210","#E4D2E2"
"Rosa Fascinação","237674","#E5D1E0"
"Limonada Rosa","48515","#ECD0CF"
"Pétala de rosa","232293","#F9CECD"
"Pétala de rosa","232293","#F9CECD"
"Pinhão","48271","#F5CED1"
"Branco Framboesa","100787","#E5CED4"
"Diário de Amor","232606","#F5CAC1"
"Rosa Conquista","232219","#EDC9CC"
"Rosa Conquista","232219","#EDC9CC"
