"ColorName","ColorId","ColorHex"
"Etéreo","C519","#DEE7E7"
"Pluma Leve","D519","#E0E9EC"
"Azul-além","E519","#E0E8F0"
"Transatlântico","Z033","#D8E2EA"
"Velejando","R519","#D8DFEA"
"Crista da Onda","A520","#E9EBEC"
"Geleiras Alpinas","B520","#E2E8ED"
"Chuva Fina","C520","#DAE5ED"
"Frescor de Chuva","D520","#D7E6EF"
"Banho Gelado","E520","#CADFEC"
"Céu Limpo","P520","#BEDAEB"
"Esqui na Neve","A521","#E9EBE8"
"Manhã do Ártico","B521","#E4E8EB"
"Chuva Gelada","C521","#DFE4E7"
"Espuma do Mar","D521","#DEE2E4"
"Luz do Luar","E521","#D6DCE2"
"Flutuação","P521","#D3D8DF"
"Arrecifes","R521","#CBD6E0"
"Serenar","A522","#EBE9E8"
"Maciota","B522","#EAEAEB"
"Asas de Anjo","C522","#EAE9EA"
"Ar Refrescante","D522","#EBE8EA"
"Crochê da Vovó","E522","#E8E1E3"
"Alma Delicada","P522","#E3DCDE"
"Tarde Misteriosa","R522","#DFDADA"
"Toque de Porcelana","A523","#EBEAEB"
"Silêncio das Águas","B523","#EDEAEB"
"Lenço de Bolso","C523","#EAE8E7"
"Papel Craft","D523","#F0EAEB"
"Flor de Laranjeira","A356","#EBE4E8"
"Rosa-branca","A231","#ECE3E9"
"Chá de Rosas","A354","#E8E1EA"
"Nata","A524","#F0ECE8"
"Futurista","B524","#EFEAE6"
"Melodia de Outono","C524","#F2EAE5"
"Espuma Cremosa","D524","#F2E9E7"
"Natural","E524","#F3EDED"
"Canção de Bebê","P524","#EFE6E8"
"Charme de Outono","G146","#E6DDE2"
"Piso Frio","A525","#EDE9E5"
"Transição","B525","#EEEAE9"
"Leite em Pó","C525","#EFEDE9"
"Meditação","D525","#EEEBE7"
"Açúcar Cristal","A204","#EAE8E3"
"Alpes Suíços","A203","#ECEAE3"
"Cordilheira dos Andes","F108","#EDEAE0"
"Nuvem de Papel","A526","#F1EFEB"
"Espaço Lunar","B526","#E9E8E2"
"Som das Ondas","G159","#E5E2DA"
"Berço","A154","#E5E2DB"
"Calopsita","A014","#DBDAD7"
"Névoa da Manhã","P526","#D1D1CE"
"Papel de Presente","B208","#EAE9E2"
"Papel-crepom","C208","#E6E6E1"
"Papel-couché","D208","#E5E5E0"
"Papel-jornal","E208","#E1E1DD"
"Pergaminho","P208","#DEE0DC"
"Papel-maché","R208","#DDDEDB"
"Tomara Que Caia","F164","#DEDDD9"
"Laçarote","A528","#EFE3E4"
"Rosa Pastel","B528","#F2E5E2"
"Maria Antonieta","C528","#FAE5DD"
"Doceria","D528","#F4DEDB"
"Mimosa","E528","#FBDFD7"
"Vitoriana","P528","#F9DBD4"
"Doce Desejo","R528","#F9D0C9"
"Espartilho","A529","#F6E5DD"
"Boto Rosa","B529","#F7DFD7"
"Beleza Natural","F132","#F4DED7"
"Margaridinha-rosa","G134","#F7DCD2"
"Milk-shake","G135","#FAD7CB"
"Pêssego Pálido","C529","#F3D4C4"
"Rosa-amor","R529","#FED5C8"
"Pêssego-suave","A530","#F3E8DF"
"Mantecal","B530","#F5E5D7"
"Manteiga de Babaçu","A116","#F3E3D6"
"Vestido de Renda","F135","#F3E0D4"
"Doce Amanhã","V129","#F5DED3"
"Céu de Primavera","H093","#F8DAC9"
"Mormaço","G096","#F8DAC4"
"Creme de Baunilha","A531","#EBE8DF"
"Quase Rosa","C531","#F7E7D9"
"Leite Condensado","A114","#F5E3D2"
"Adormecida","V091","#F7E0CC"
"Tarde de Verão","S089","#F9DCC1"
"Sol de Outono","B124","#FBDBBF"
"Luxo","J084","#FDD9B3"
"Mimo","A532","#F3EADD"
"Palha de Seda","C004","#F7E7D6"
"Boas-vindas","C532","#F7E4CF"
"Humanidade","D532","#F4E4CA"
"Sininho","A122","#F7E1C5"
"Calor das Ruas","B125","#F8DBB2"
"Doce Delírio","R532","#F7D39D"
"Silêncio da Manhã","A533","#F2ECE4"
"Creme de Pêssego","B533","#F7EBD4"
"Palete","C533","#FAE5C8"
"Papel Sedoso","D533","#F9E2C4"
"Veraneio","E533","#FCDEB7"
"Banana-da-terra","P533","#FFE0AA"
"Vintage","R533","#FBD8AD"
"Lugar Comum","A534","#F3EBDF"
"Violoncelo","A003","#F1E7D6"
"Castanha-de-caju","A173","#EFE5D6"
"Bem-casado","A283","#F0E4D3"
"Solstício","E202","#E8DDCB"
"Doce Crocante","X035","#EFE0C9"
"Trigo","R534","#ECDCC4"
"Ócio Criativo","A535","#FCF8EB"
"Angelical","B535","#F0EBDD"
"Jardim Zen","C535","#F0E9D9"
"Pérola Aveludada","A001","#F1EAD6"
"Manteiga de Cupuaçu","A142","#EEE8D5"
