"ColorName","ColorId","ColorHex"
"Alegria de Viver","SW6656","#d88b4d"
"Chapéu de Couro","SW6657","#d28240"
"Jarro de Barro","SW7703","#a85e39"
"Cativante","SW6659","#f4d9b1"
"Criancice","SW6660","#f5cf9b"
"Vinho Espumante","SW9008","#f5c78e"
"Flan de Papaia","SW6661","#efb97b"
"Dia de Verão","SW6662","#eaaa62"
"Açafrão","SW6663","#df984e"
"Calêndula","SW6664","#d28233"
"Doçura","SW6337","#edd2c0"
"Licor de Pêssego","SW6338","#e4b9a2"
"Geleia de Caqui","SW6339","#d9987c"
"Siena Delicado","SW9009","#cc896c"
"Falésias de Pipa","SW6340","#c1785c"
"Aldeia Indígena","SW6341","#ad654c"
"Pimenta-cumari","SW6342","#994b35"
"Renda Discreta","SW6344","#eccfbb"
"À Beira do Rio","SW6345","#e5b99b"
"Aroma de Laranja","SW6346","#db9c7b"
"Crisântemo","SW6347","#c47b5b"
"Especiarias","SW6348","#b46848"
"Sarapatéu","SW6349","#a2583a"
"Jacarandá-da-bahia","SW7598","#924e3c"
"Laranja Doce","SW6351","#ebccb3"
"Damasco Suave","SW6352","#e0b392"
"Cânion do Itaimbezinho","SW9010","#dba480"
"Cavalheirismo","SW6353","#d4966e"
"Armanhaque","SW6354","#c38058"
"Moeda Americana","SW6355","#b46c42"
"Montanha de Cobre","SW6356","#a6613c"
"Geada de Outono","SW6358","#edd0b6"
"Sociável","SW6359","#e8be9b"
"Ocre Campeiro","SW9011","#e3ab7b"
"Amanhecer do Outono","SW6360","#d69969"
"Lobo-guará","SW6361","#cd8c5d"
"Olho de Tigre","SW6362","#bb7748"
"Sabiá-laranjeira","SW6363","#b06c3e"
"Fada do Dente","SW6365","#f3d9ba"
"Desejo Âmbar","SW6366","#f0cb97"
"Brinde à Vida","SW6367","#e3ac72"
"Páteo Dourado","SW6368","#d7995d"
"Pendão Decorativo","SW6369","#c6884a"
"Caminhos de Terra","SW6370","#b6743b"
"Tacho de Cobre","SW7709","#b16a37"
"Marfim Delicado","SW6372","#f2d5b0"
"Grão de Areia","SW6373","#edc38e"
"Pó de Ouro","SW9012","#e8b87f"
"Amarelo Mel","SW6374","#e5ae6b"
"Néctar das Flores","SW6375","#d59858"
"Costa Dourada","SW6376","#c78538"
"Fonte da Fortuna","SW6377","#b67d3c"
"Mingau de Milho","SW6379","#f5debb"
"Escultura de Areia","SW6380","#edc796"
"Refúgio de Verão","SW7682","#eabf86"
"Pera-d'anjou","SW6381","#ddac6d"
"Paçoquinha","SW6382","#d69e59"
"Regra de Ouro","SW6383","#cc9249"
"Direto ao Ponto","SW6384","#ba7f38"
"Rosa Exuberante","SW6840","#b54d7f"
"Pitaia","SW6855","#cc617f"
"Calda de Cerejas","SW6862","#ab3c51"
"Rabanete","SW6861","#a42e41"
"Vermelho Pulsante","SW6866","#a82e33"
"Vermelho Real","SW6868","#bf2d32"
"Vermelho Confiante","SW6871","#ad2c34"
"MARROM CONHAQUE","25","#9A6048"
"CASTOR","38","#a96c4d"
"VERMELHO RÚSTICO (SEMIBRILHO)","65","#9f5258"
"TANGERINA","14","#f19a65"
"MARROM","67","#634441"
"TABACO","26","#784029"
"ROSA AÇAÍ"," 28","#d76184"
"VERMELHO ÓXIDO","76","#8c2715"
"CERÂMICA ÔNIX","50","#a03f2e"
"VERMELHO","93","#954745"
"VERMELHO (ACETINADO)","53","#ce4d47"
"VERMELHO RÚSTICO"," 65","#99474d"
"CERÂMICA TELHA","49","#af4c2f"
"VERMELHO CERÂMICA","28","#c25457"
"VERMELHO SEGURANÇA","95","#be4041"
"ROSA SOFT (SEMIBRILHO)","64","#d08893"
"VERMELHO CEREJA"," 63","#dc535d"
"VERMELHO CARMIM","32","#bd5c49"
"Agradável","SW6666","#f5d6a9"
"Brilho da Tarde","SW6667","#f6cd8e"
"Nascer do Sol","SW6668","#f4bf77"
"Âmbar Antigo","SW9013","#eeb76b"
"Mel de Abelha","SW6669","#ebad5e"
"Crista Dourada","SW6670","#df9938"
"Curry","SW6671","#d88f32"
"Creme de Banana","SW6673","#f5deaf"
"Junquilho","SW6674","#f7d391"
"Manteiga de Garrafa","SW9014","#fbd187"
"À Tarde","SW6675","#fbcb78"
"Polenta","SW6676","#f7be5b"
"Arnica","SW6677","#f2af46"
