"ColorName","ColorId","ColorHex"
"Ramo de Flores","2151E","#FDB3B0"
"Conto de Fadas","2152E","#F69B96"
"Mulher Moderna","2153E","#EB7D70"
"Prunus","2155E","#FEE0E0"
"Linda Flor","2156E","#F7D5D6"
"Chá Inglês","2157E","#F6BBB7"
"Iogurte de Morango","2158E","#F0ACAD"
"Coração","2159E","#DF8E8B"
"Rosa Carmim","2160E","#C46A6C"
"Chocolate com Pimenta","2161E","#A24C4D"
"Beijo do Anjo","2162E","#F5E6E3"
"Água Viva","2163E","#F0D0D3"
"Chapéu da Lady","2164E","#E5C2C0"
"Açúcar e Canela","2165E","#C79490"
"Maquiagem","2166E","#BA867B"
"Festa de Rodeio","2167E","#9E635B"
"Delícia de Chocolate","2168E","#8C5251"
"Xodó da Vovó","2169E","#F7E8E3"
"Laço de Fita","2170E","#F1CED4"
"Sensação","2171E","#E9B1B4"
"Antiguidade","2172E","#D5949A"
"Escultura Barroca","2173E","#C0787C"
"Loja de Antiguidades","2174E","#AD6769"
"Borgonha","2175E","#904C4B"
"Tule Rosa","2176E","#F4E6E5"
"Romântica","2177E","#F3D3D8"
"Rosa Algodão","2178E","#F1BEC5"
"Goiaba Cremosa","2179E","#DD9BA7"
"Capri","2180E","#CA919A"
"Rosa Selvagem","2181E","#B8727A"
"Plumas","2182E","#A1595D"
"Frio Rosa","2183E","#F9E9E9"
"Pó Facial","2184E","#FFDFE7"
"Sapatilha","2185E","#FECFD9"
"Rosa Energia","2186E","#FCB3C6"
"Frutas Vermelhas","2187E","#F098AE"
"Pink","2188E","#E7718B"
"Fina Renda","2190E","#F1E7E5"
"Laço Angelical","2191E","#EADADB"
"Brilho Matutino","2192E","#D8BBBD"
"Meia Calça","2193E","#C09C9C"
"Glacê de Chocolate","2194E","#A17278"
"Casa Grande","2195E","#8B5D60"
"Cabernet","2196E","#72494D"
"Flor de Maio","2197E","#F3DFE0"
"Rosa Vitória","2198E","#E7CED4"
"Modernismo","2199E","#D9B6BC"
"Laço Rosa","2200E","#CFA4AB"
